,DATE,DATE_NAME,DATE_CODE,DATE_TYPE,DATE_TYPECODE,DATE_SORTORDER,GEOGRAPHY,GEOGRAPHY_NAME,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,GEOGRAPHY_SORTORDER,C2021_HH_1,C2021_HH_1_NAME,C2021_HH_1_CODE,C2021_HH_1_TYPE,C2021_HH_1_TYPECODE,C2021_HH_1_SORTORDER,MEASURES,MEASURES_NAME,OBS_VALUE,OBS_STATUS,OBS_STATUS_NAME,OBS_CONF,OBS_CONF_NAME,URN,RECORD_OFFSET,RECORD_COUNT
61,2021,2021,2021,date,0,0,629165540,E00021207,E00021207,2021 output areas,150,61,0,Number of households,0,Number of households,1000000,0,20100,Value,141,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165540d0d20100,61,913
62,2021,2021,2021,date,0,0,629165541,E00021208,E00021208,2021 output areas,150,62,0,Number of households,0,Number of households,1000000,0,20100,Value,108,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165541d0d20100,62,913
63,2021,2021,2021,date,0,0,629165542,E00021209,E00021209,2021 output areas,150,63,0,Number of households,0,Number of households,1000000,0,20100,Value,74,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165542d0d20100,63,913
64,2021,2021,2021,date,0,0,629165543,E00021210,E00021210,2021 output areas,150,64,0,Number of households,0,Number of households,1000000,0,20100,Value,77,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165543d0d20100,64,913
65,2021,2021,2021,date,0,0,629165544,E00021211,E00021211,2021 output areas,150,65,0,Number of households,0,Number of households,1000000,0,20100,Value,143,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165544d0d20100,65,913
66,2021,2021,2021,date,0,0,629165545,E00021212,E00021212,2021 output areas,150,66,0,Number of households,0,Number of households,1000000,0,20100,Value,75,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165545d0d20100,66,913
67,2021,2021,2021,date,0,0,629165546,E00021213,E00021213,2021 output areas,150,67,0,Number of households,0,Number of households,1000000,0,20100,Value,130,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165546d0d20100,67,913
68,2021,2021,2021,date,0,0,629165547,E00021214,E00021214,2021 output areas,150,68,0,Number of households,0,Number of households,1000000,0,20100,Value,169,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165547d0d20100,68,913
69,2021,2021,2021,date,0,0,629165548,E00021215,E00021215,2021 output areas,150,69,0,Number of households,0,Number of households,1000000,0,20100,Value,168,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165548d0d20100,69,913
70,2021,2021,2021,date,0,0,629165549,E00021216,E00021216,2021 output areas,150,70,0,Number of households,0,Number of households,1000000,0,20100,Value,149,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165549d0d20100,70,913
71,2021,2021,2021,date,0,0,629165550,E00021218,E00021218,2021 output areas,150,71,0,Number of households,0,Number of households,1000000,0,20100,Value,214,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165550d0d20100,71,913
72,2021,2021,2021,date,0,0,629165551,E00021219,E00021219,2021 output areas,150,72,0,Number of households,0,Number of households,1000000,0,20100,Value,127,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165551d0d20100,72,913
73,2021,2021,2021,date,0,0,629165552,E00021220,E00021220,2021 output areas,150,73,0,Number of households,0,Number of households,1000000,0,20100,Value,182,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165552d0d20100,73,913
74,2021,2021,2021,date,0,0,629165553,E00021223,E00021223,2021 output areas,150,74,0,Number of households,0,Number of households,1000000,0,20100,Value,210,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165553d0d20100,74,913
75,2021,2021,2021,date,0,0,629165554,E00021224,E00021224,2021 output areas,150,75,0,Number of households,0,Number of households,1000000,0,20100,Value,175,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165554d0d20100,75,913
76,2021,2021,2021,date,0,0,629165555,E00021225,E00021225,2021 output areas,150,76,0,Number of households,0,Number of households,1000000,0,20100,Value,175,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165555d0d20100,76,913
77,2021,2021,2021,date,0,0,629165556,E00021227,E00021227,2021 output areas,150,77,0,Number of households,0,Number of households,1000000,0,20100,Value,122,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165556d0d20100,77,913
78,2021,2021,2021,date,0,0,629165557,E00021228,E00021228,2021 output areas,150,78,0,Number of households,0,Number of households,1000000,0,20100,Value,136,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165557d0d20100,78,913
79,2021,2021,2021,date,0,0,629165558,E00021229,E00021229,2021 output areas,150,79,0,Number of households,0,Number of households,1000000,0,20100,Value,158,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165558d0d20100,79,913
80,2021,2021,2021,date,0,0,629165559,E00021230,E00021230,2021 output areas,150,80,0,Number of households,0,Number of households,1000000,0,20100,Value,127,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165559d0d20100,80,913
81,2021,2021,2021,date,0,0,629165560,E00021231,E00021231,2021 output areas,150,81,0,Number of households,0,Number of households,1000000,0,20100,Value,110,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165560d0d20100,81,913
82,2021,2021,2021,date,0,0,629165561,E00021235,E00021235,2021 output areas,150,82,0,Number of households,0,Number of households,1000000,0,20100,Value,44,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165561d0d20100,82,913
